"nid","Last.Name","First.Name","Middle.Name","Suffix","Birth.Year","Death.Year","app_1_circ","app_1_beg_yr","app_1_end_yr","app_2_circ","app_2_beg_yr","app_2_end_yr","app_3_circ","app_3_beg_yr","app_3_end_yr","app_4_circ","app_4_beg_yr","app_4_end_yr"
1376981,"Acheson","Marcus","Wilson"," ","1828",1906,"","","","","","","3","1891","1906","","",""
1377011,"Adams","Arlin","Marvin"," ","1921",2015,"3","1969","1987","","","","","","","","",""
1377016,"Adams","Elmer","Bragg"," ","1842",1916,"","","","","","","8","1905","1916","","",""
1392706,"Agee","G.","Steven"," ","1952",,"4","2008","","","","","","","","","",""
1377051,"Ainsworth","Robert","Andrew","Jr.","1910",1981,"","","","5","1966","1981","","","","","",""
1377066,"Alarcón","Arthur","Lawrence"," ","1925",2015,"9","1979","2015","","","","","","","","",""
1377076,"Aldisert","Ruggero","John"," ","1919",2014,"3","1968","2014","","","","","","","","",""
1377086,"Aldrich","Bailey"," "," ","1907",2002,"","","","1","1959","2002","","","","","",""
1377101,"Alito","Samuel","A.","Jr.","1950",,"3","1990","2006","","","","","","","","",""
1377111,"Allen","Florence","Ellinwood"," ","1884",1966,"6","1934","1966","","","","","","","","",""
1390376,"Almond","James","Lindsay","Jr.","1898",1986,"","","","FED","1982","1986","","","","","",""
1377136,"Alschuler","Samuel"," "," ","1859",1939,"7","1916","1939","","","","","","","","",""
1377146,"Altimari","Frank","X."," ","1928",1998,"","","","2","1985","1998","","","","","",""
1377151,"Alvey","Richard","Henry"," ","1826",1906,"DC","1893","1905","","","","","","","","",""
1391086,"Ambro","Thomas","L."," ","1949",,"3","2000","","","","","","","","","",""
1377176,"Anderson","Albert","Barnes"," ","1857",1938,"","","","7","1925","1938","","","","","",""
1377191,"Anderson","George","Weston"," ","1861",1938,"1","1918","1938","","","","","","","","",""
1377201,"Anderson","J.","Blaine"," ","1922",1988,"","","","9","1976","1988","","","","","",""
1377216,"Anderson","Robert","Palmer"," ","1906",1978,"","","","2","1964","1978","","","","","",""
1377211,"Anderson","R[obert]","Lanier","III","1936",,"5","1979","1981","11","1981","","","","","","",""
1377221,"Anderson","Stephen","Hale"," ","1932",,"10","1985","","","","","","","","","",""
1377236,"Arant","Herschel","Whitfield"," ","1887",1941,"6","1939","1941","","","","","","","","",""
1377251,"Archbald","Robert","Wodrow"," ","1848",1926,"","","","","","","3","1911","1913","","",""
1377256,"Archer","Glenn","Leroy","Jr.","1929",2011,"FED","1985","2011","","","","","","","","",""
1377266,"Arnold","Morris","Sheppard"," ","1941",,"","","","8","1992","","","","","","",""
1377271,"Arnold","Richard","Sheppard"," ","1936",2004,"","","","","","","8","1980","2004","","",""
1377276,"Arnold","Thurman","Wesley"," ","1891",1969,"DC","1943","1945","","","","","","","","",""
1394126,"Bacharach","Robert","Edwin"," ","1959",,"10","2013","","","","","","","","","",""
6202901,"Bade","Bridget","Shelton","","1965",,"9","2019","","","","","","","","","",""
1377356,"Baker","Francis","Elisha"," ","1860",1924,"","","","7","1902","1924","","","","","",""
1377376,"Baldock","Bobby","Ray"," ","1936",,"","","","10","1985","","","","","","",""
1377396,"Baldwin","Phillip","Benjamin"," ","1924",2002,"","","","FED","1982","1991","","","","","",""
1377446,"Barkett","Rosemary"," "," ","1939",,"11","1994","2013","","","","","","","","",""
1377456,"Barksdale","Rhesa","Hawkins"," ","1944",,"5","1990","","","","","","","","","",""
1377486,"Barnes","Stanley","Nelson"," ","1900",1990,"9","1956","1990","","","","","","","","",""
3979311,"Barrett","Amy","Coney","","1972",,"7","2017","2020","","","","","","","","",""
1377496,"Barrett","James","Emmett"," ","1922",2011,"10","1971","2011","","","","","","","","",""
1394531,"Barron","David","Jeremiah"," ","1967",,"1","2014","","","","","","","","","",""
1377511,"Barry","Maryanne","Trump"," ","1937",,"","","","3","1999","2019","","","","","",""
1377541,"Bastian","Walter","Maximillian"," ","1891",1975,"","","","DC","1954","1975","","","","","",""
1377546,"Batchelder","Alice","Moore"," ","1944",,"","","","6","1991","","","","","","",""
1377571,"Batts","Robert","Lynn"," ","1864",1935,"5","1917","1919","","","","","","","","",""
1377576,"Bauer","William","Joseph"," ","1926",,"","","","7","1974","","","","","","",""
1377591,"Bazelon","David","L."," ","1909",1993,"DC","1950","1993","","","","","","","","",""
1392016,"Bea","Carlos","T."," ","1934",,"9","2003","","","","","","","","","",""
1377596,"Beam","C[larence]","Arlen"," ","1930",,"","","","8","1987","","","","","","",""
1377646,"Becker","Edward","Roy"," ","1933",2006,"","","","3","1981","2006","","","","","",""
1377681,"Beezer","Robert","R."," ","1928",2012,"9","1984","2012","","","","","","","","",""
1377691,"Bell","Griffin","Boyette"," ","1918",2009,"5","1962","1976","","","","","","","","",""
1377696,"Bell","J.","Spencer"," ","1906",1967,"4","1961","1967","","","","","","","","",""
1377731,"Benavides","Fortunato","Pedro"," ","1947",,"5","1994","","","","","","","","","",""
1377741,"Bennett","Marion","Tinsley"," ","1914",2000,"","","","FED","1982","2000","","","","","",""
4908101,"Bennett","Mark","Jeremy","","1953",,"9","2018","","","","","","","","","",""
1392186,"Benton","William","Duane"," ","1950",,"8","2004","","","","","","","","","",""
1391116,"Berzon","Marsha","Siegel"," ","1945",,"9","2000","","","","","","","","","",""
1392311,"Bianco","Joseph","Frank"," ","1966",,"","","","2","2019","","","","","","",""
3989731,"Bibas","Stephanos","","","1969",,"3","2017","","","","","","","","","",""
1377796,"Biddle","Francis"," "," ","1886",1968,"3","1939","1940","","","","","","","","",""
1377816,"Biggs","John"," ","Jr.","1895",1979,"3","1937","1979","","","","","","","","",""
1377841,"Bingham","George","Hutchins"," ","1864",1949,"1","1913","1949","","","","","","","","",""
1377846,"Birch","Stanley","F.","Jr.","1945",,"11","1990","2010","","","","","","","","",""
1377851,"Bissell","Jean","Galloway"," ","1936",1990,"FED","1984","1990","","","","","","","","",""
1377886,"Black","Susan","Harrell"," ","1943",,"","","","11","1992","","","","","","",""
1377901,"Blackmun","Harry","Andrew"," ","1908",1999,"8","1959","1970","","","","","","","","",""
1377976,"Boggs","Danny","Julian"," ","1944",,"6","1986","","","","","","","","","",""
1377996,"Bond","Hugh","Lennox"," ","1828",1893,"","","","4","1891","1893","","","","","",""
1378006,"Bone","Homer","Truett"," ","1883",1970,"9","1944","1970","","","","","","","","",""
1378021,"Boochever","Robert"," "," ","1917",2011,"9","1980","2011","","","","","","","","",""
1378026,"Booth","Wilbur","Franklin"," ","1861",1944,"","","","8","1925","1944","","","","","",""
1378036,"Borah","Wayne","G."," ","1891",1966,"","","","5","1949","1966","","","","","",""
1378041,"Boreman","Herbert","Stephenson"," ","1897",1982,"","","","4","1959","1982","","","","","",""
1378046,"Bork","Robert","Heron"," ","1927",2012,"DC","1982","1988","","","","","","","","",""
1378056,"Boudin","Michael"," "," ","1939",,"","","","1","1992","2021","","","","","",""
1378081,"Bowman","Pasco","Middleton","II","1933",,"8","1983","","","","","","","","","",""
1378086,"Bownes","Hugh","Henry"," ","1920",2003,"","","","1","1977","2003","","","","","",""
4237586,"Branch","Elizabeth","Lee","","1968",,"11","2018","","","","","","","","","",""
6383991,"Brasher","Andrew","Lynn","","1981",,"","","","11","2020","","","","","","",""
1378186,"Bratton","Sam","Gilbert"," ","1888",1963,"10","1933","1963","","","","","","","","",""
1378201,"Breitenstein","Jean","Sala"," ","1900",1986,"","","","10","1957","1986","","","","","",""
4602991,"Brennan","Michael","Brian","","1963",,"7","2018","","","","","","","","","",""
6729576,"Bress","Daniel","Aaron","","1979",,"9","2019","","","","","","","","","",""
1378241,"Breyer","Stephen","Gerald"," ","1938",,"1","1980","1994","","","","","","","","",""
1378261,"Bright","Myron","H."," ","1919",2016,"8","1968","2016","","","","","","","","",""
1378281,"Briscoe","Mary","Beck"," ","1947",,"10","1995","","","","","","","","","",""
1378346,"Brooks","Henry","Luesing"," ","1905",1971,"","","","6","1969","1971","","","","","",""
1378356,"Brorby","Wade"," "," ","1934",,"10","1988","","","","","","","","","",""
1378376,"Brown","Bailey"," "," ","1917",2004,"","","","6","1979","1997","","","","","",""
1392276,"Brown","Janice","Rogers"," ","1949",,"DC","2005","2017","","","","","","","","",""
1378391,"Brown","John","Robert"," ","1909",1993,"5","1955","1993","","","","","","","","",""
1378416,"Browning","James","Robert"," ","1918",2012,"9","1961","2012","","","","","","","","",""
1378436,"Brunetti","Melvin","T."," ","1933",2009,"9","1985","2009","","","","","","","","",""
1378441,"Bryan","Albert","Vickers"," ","1899",1984,"","","","4","1961","1984","","","","","",""
1378461,"Bryan","Nathan","Philemon"," ","1872",1935,"5","1920","1935","","","","","","","","",""
1378491,"Bryson","William","Curtis"," ","1945",,"FED","1994","","","","","","","","","",""
1378511,"Buckley","James","Lane"," ","1923",,"DC","1985","","","","","","","","","",""
1378531,"Buffington","Joseph"," "," ","1855",1947,"","","","","","","3","1906","1947","","",""
7499211,"Bumatay","Patrick","Joseph","","1978",,"9","2019","","","","","","","","","",""
1378561,"Burger","Warren","Earl"," ","1907",1995,"DC","1956","1969","","","","","","","","",""
3114866,"Bush","John","Kenneth","","1964",,"6","2017","","","","","","","","","",""
1378651,"Butzner","John","Decker","Jr.","1917",2006,"","","","4","1967","2006","","","","","",""
1391741,"Bybee","Jay","S."," ","1953",,"9","2003","","","","","","","","","",""
1391096,"Bye","Kermit","Edward"," ","1937",2021,"8","2000","2016","","","","","","","","",""
1378686,"Cabranes","José","Alberto"," ","1940",,"","","","2","1994","","","","","","",""
1378726,"Calabresi","Guido"," "," ","1932",,"2","1994","","","","","","","","","",""
1378736,"Caldwell","Henry","Clay"," ","1832",1915,"","","","","","","","","","8","1891","1903"
1391846,"Callahan","Consuelo","Maria"," ","1950",,"9","2003","","","","","","","","","",""
1378761,"Cameron","Benjamin","Franklin"," ","1890",1964,"5","1955","1964","","","","","","","","",""
1378781,"Campbell","Levin","Hicks"," ","1927",,"","","","1","1972","","","","","","",""
1378816,"Canby","William","Cameron","Jr.","1931",,"9","1980","","","","","","","","","",""
1378831,"Cardamone","Richard","J."," ","1925",2015,"2","1981","2015","","","","","","","","",""
1378841,"Carland","John","Emmett"," ","1853",1922,"","","","","","","8","1911","1922","","",""
1378846,"Carnes","Edward","Earl"," ","1950",,"11","1992","","","","","","","","","",""
1378851,"Carnes","Julie","E."," ","1950",,"","","","11","2014","","","","","","",""
1393711,"Carney","Susan","Laura"," ","1951",,"2","2011","","","","","","","","","",""
4625001,"Carson","Joel","McElroy","III","1971",,"10","2018","","","","","","","","","",""
1378896,"Carswell","George","Harrold"," ","1919",1992,"","","","5","1969","1970","","","","","",""
1378906,"Carter","James","Marshall"," ","1904",1979,"","","","9","1967","1979","","","","","",""
1378951,"Castle","Latham"," "," ","1900",1986,"7","1959","1986","","","","","","","","",""
1378981,"Cecil","Lester","LeFevre"," ","1893",1982,"","","","6","1959","1982","","","","","",""
1378991,"Celebrezze","Anthony","Joseph"," ","1910",1998,"6","1965","1998","","","","","","","","",""
1392371,"Chagares","Michael","A."," ","1962",,"3","2006","","","","","","","","","",""
1379001,"Chambers","Richard","Harvey"," ","1906",1994,"9","1954","1994","","","","","","","","",""
1379011,"Chapman","Robert","Foster"," ","1926",2018,"","","","4","1981","2018","","","","","",""
1379021,"Chase","Harrie","Brigham"," ","1889",1969,"2","1929","1969","","","","","","","","",""
1394261,"Chen","Raymond","T."," ","1968",,"FED","2013","","","","","","","","","",""
1391851,"Chertoff","Michael"," "," ","1953",,"3","2003","2005","","","","","","","","",""
1379061,"Chin","Denny"," "," ","1954",,"","","","2","2010","","","","","","",""
1379086,"Choy","Herbert","Young Cho"," ","1916",2004,"9","1971","2004","","","","","","","","",""
1393881,"Christen","Morgan"," "," ","1961",,"9","2012","","","","","","","","","",""
1379136,"Clark","Bennett","Champ"," ","1890",1954,"DC","1945","1954","","","","","","","","",""
1379141,"Clark","Charles"," "," ","1925",2011,"5","1969","1992","","","","","","","","",""
1379151,"Clark","Charles","Edward"," ","1889",1963,"2","1939","1963","","","","","","","","",""
1379171,"Clark","Thomas","Alonzo"," ","1920",2005,"5","1979","1981","11","1981","2005","","","","","",""
1379181,"Clark","William"," "," ","1891",1957,"","","","3","1938","1943","","","","","",""
1390456,"Clay","Eric","L."," ","1948",,"6","1997","","","","","","","","","",""
1379211,"Clayton","Claude","Feemster"," ","1909",1969,"","","","5","1967","1969","","","","","",""
1379226,"Clement","Edith","Brown"," ","1948",,"","","","5","2001","","","","","","",""
