,circ_num,judge_name,num
0,District of Columbia Circuit,BROWN,11
1,District of Columbia Circuit,EDWARDS,13
2,District of Columbia Circuit,GARLAND,15
3,District of Columbia Circuit,GINSBURG,14
4,District of Columbia Circuit,GRIFFITH,7
5,District of Columbia Circuit,HENDERSON,15
6,District of Columbia Circuit,KAREN LECRAFT HENDERSON,1
7,District of Columbia Circuit,KAVANAUGH,4
8,District of Columbia Circuit,MILLETT,1
9,District of Columbia Circuit,PILLARD,1
10,District of Columbia Circuit,RANDOLPH,10
11,District of Columbia Circuit,ROBERTS,2
12,District of Columbia Circuit,ROGERS,13
13,District of Columbia Circuit,SENTELLE,10
14,District of Columbia Circuit,SILBERMAN,5
15,District of Columbia Circuit,SRINIVASAN,3
16,District of Columbia Circuit,TATEL,11
17,District of Columbia Circuit,WILKINS,1
18,District of Columbia Circuit,WILLIAMS,10
19,Eighth Circuit,ARNOLD,14
20,Eighth Circuit,BARNES,2
21,Eighth Circuit,BATTEY,3
22,Eighth Circuit,BEAM,48
23,Eighth Circuit,BENTON,40
24,Eighth Circuit,BOGUE,6
25,Eighth Circuit,BOWMAN,46
26,Eighth Circuit,BRIGHT,11
27,Eighth Circuit,BYE,54
28,Eighth Circuit,CARMAN,3
29,Eighth Circuit,COLLOTON,41
30,Eighth Circuit,DAVIS,1
31,Eighth Circuit,DORR,1
32,Eighth Circuit,ERICKSEN,2
33,Eighth Circuit,ERICKSON,2
34,Eighth Circuit,FAGG,12
35,Eighth Circuit,FLOYD R  GIBSON,1
36,Eighth Circuit,GERRARD,1
37,Eighth Circuit,GOLDBERG,3
38,Eighth Circuit,GRASZ,2
39,Eighth Circuit,GRITZNER,2
40,Eighth Circuit,GRUENDER,36
41,Eighth Circuit,HAMILTON,2
42,Eighth Circuit,HANSEN,41
43,Eighth Circuit,HEANEY,22
44,Eighth Circuit,JARVEY,1
45,Eighth Circuit,JOHN R  GIBSON,17
46,Eighth Circuit,JONES,1
47,Eighth Circuit,KAYS,1
48,Eighth Circuit,KELLY,6
49,Eighth Circuit,KYLE,1
50,Eighth Circuit,LAY,12
51,Eighth Circuit,LOKEN,68
52,Eighth Circuit,MAGILL,3
53,Eighth Circuit,MAGNUSON,4
54,Eighth Circuit,MCMILLIAN,33
55,Eighth Circuit,MELLOY,61
56,Eighth Circuit,MILLS,1
57,Eighth Circuit,MOODY,4
58,Eighth Circuit,MORRIS SHEPPARD ARNOLD,26
59,Eighth Circuit,MURPHY,56
60,Eighth Circuit,NANGLE,1
61,Eighth Circuit,PANNER,1
62,Eighth Circuit,PERRY,1
63,Eighth Circuit,PRATT,1
64,Eighth Circuit,RICHARD S  ARNOLD,25
65,Eighth Circuit,RILEY,55
66,Eighth Circuit,ROSS,3
67,Eighth Circuit,SHEPHERD,37
68,Eighth Circuit,SMITH,48
69,Eighth Circuit,STRAND,1
70,Eighth Circuit,STRAS,1
71,Eighth Circuit,STROM,1
72,Eighth Circuit,TASHIMA,3
73,Eighth Circuit,TUNHEIM,2
74,Eighth Circuit,VIETOR,1
75,Eighth Circuit,WEBB,1
76,Eighth Circuit,WOLLMAN,57
77,Eleventh Circuit,ALAIMO,1
78,Eleventh Circuit,ALARCON,1
79,Eleventh Circuit,ALARCÓN,2
80,Eleventh Circuit,ALBRITTON,2
81,Eleventh Circuit,ALTONAGA,1
82,Eleventh Circuit,ANDERSON,65
83,Eleventh Circuit,BARBOUR,1
84,Eleventh Circuit,BARKETT,40
85,Eleventh Circuit,BARZILAY,1
86,Eleventh Circuit,BERMAN,1
87,Eleventh Circuit,BIRCH,32
88,Eleventh Circuit,BLACK,44
89,Eleventh Circuit,BOWEN,1
90,Eleventh Circuit,BRANCH,2
91,Eleventh Circuit,BRIGHT,2
92,Eleventh Circuit,CARNES,57
93,Eleventh Circuit,CLEVENGER,1
94,Eleventh Circuit,COOGLER,1
95,Eleventh Circuit,CORRIGAN,1
96,Eleventh Circuit,COWEN,1
97,Eleventh Circuit,COX,18
98,Eleventh Circuit,CUDAHY,2
99,Eleventh Circuit,DUBINA,34
100,Eleventh Circuit,EBEL,1
101,Eleventh Circuit,ED CARNES,10
102,Eleventh Circuit,EDMONDSON,37
103,Eleventh Circuit,EVANS,2
104,Eleventh Circuit,FARRIS,6
105,Eleventh Circuit,FAY,39
106,Eleventh Circuit,FULLER,1
107,Eleventh Circuit,GEORGE,1
108,Eleventh Circuit,GIBSON,1
109,Eleventh Circuit,GODBOLD,1
110,Eleventh Circuit,GOLD,1
111,Eleventh Circuit,GOLDBERG,2
112,Eleventh Circuit,GRAHAM,1
113,Eleventh Circuit,HALL,2
114,Eleventh Circuit,HANCOCK,1
115,Eleventh Circuit,HAND,1
116,Eleventh Circuit,HIGGINBOTHAM,1
117,Eleventh Circuit,HILL,6
118,Eleventh Circuit,HODGES,2
119,Eleventh Circuit,HUCK,1
120,Eleventh Circuit,HULL,70
121,Eleventh Circuit,HUNT,1
122,Eleventh Circuit,JILL PRYOR,7
123,Eleventh Circuit,JORDAN,36
124,Eleventh Circuit,JULIE CARNES,11
125,Eleventh Circuit,KLEINFELD,2
126,Eleventh Circuit,KRAVITCH,28
127,Eleventh Circuit,LAND,1
128,Eleventh Circuit,LIMBAUGH,1
129,Eleventh Circuit,MARCUS,58
130,Eleventh Circuit,MARTIN,29
131,Eleventh Circuit,MARTINEZ,2
132,Eleventh Circuit,MIDDLEBROOKS,2
133,Eleventh Circuit,MILLS,1
134,Eleventh Circuit,MOODY,1
135,Eleventh Circuit,MORENO,1
136,Eleventh Circuit,MUSGRAVE,1
137,Eleventh Circuit,NA,1
138,Eleventh Circuit,NANGLE,2
139,Eleventh Circuit,NEWSOM,2
140,Eleventh Circuit,O'KELLEY,1
141,Eleventh Circuit,O'SCANNLAIN,1
142,Eleventh Circuit,OWENS,1
143,Eleventh Circuit,POGUE,1
144,Eleventh Circuit,POLLAK,2
145,Eleventh Circuit,PROCTOR,1
146,Eleventh Circuit,PROPST,1
147,Eleventh Circuit,PRYOR,53
148,Eleventh Circuit,QUIST,1
149,Eleventh Circuit,REAVLEY,1
150,Eleventh Circuit,RESTANI,2
151,Eleventh Circuit,RIPPLE,2
152,Eleventh Circuit,RODGERS,1
153,Eleventh Circuit,RONEY,3
154,Eleventh Circuit,ROSENBAUM,12
155,Eleventh Circuit,ROTHSTEIN,1
156,Eleventh Circuit,RYSKAMP,3
157,Eleventh Circuit,SANDS,1
158,Eleventh Circuit,SCHLESINGER,2
159,Eleventh Circuit,SCOLA,1
160,Eleventh Circuit,SEYMOUR,1
161,Eleventh Circuit,SILER,2
162,Eleventh Circuit,SMITH,1
163,Eleventh Circuit,STROM,2
164,Eleventh Circuit,TJOFLAT,64
165,Eleventh Circuit,VINING,2
166,Eleventh Circuit,VINSON,2
167,Eleventh Circuit,WALTER,3
168,Eleventh Circuit,WILLIAM PRYOR,12
169,Eleventh Circuit,WILSON,70
170,Eleventh Circuit,WOOD,4
171,Federal Circuit,ARCHER,1
172,Federal Circuit,BRYSON,17
173,Federal Circuit,CHEN,1
174,Federal Circuit,CLEVENGER,11
175,Federal Circuit,DYK,14
176,Federal Circuit,FRIEDMAN,2
177,Federal Circuit,GAJARSA,15
178,Federal Circuit,HUGHES,3
179,Federal Circuit,LINN,6
180,Federal Circuit,LOURIE,10
181,Federal Circuit,MAYER,6
182,Federal Circuit,MICHEL,4
183,Federal Circuit,MOORE,6
184,Federal Circuit,NEWMAN,9
185,Federal Circuit,O'MALLEY,3
186,Federal Circuit,PATEL,1
187,Federal Circuit,PLAGER,4
188,Federal Circuit,PROST,10
189,Federal Circuit,RADER,12
190,Federal Circuit,REYNA,2
191,Federal Circuit,SARIS,1
192,Federal Circuit,SCHALL,6
193,Federal Circuit,SMITH,2
194,Federal Circuit,TARANTO,2
195,Federal Circuit,WALLACH,2
196,Fifth Circuit,AND PRADO,1
197,Fifth Circuit,BARKSDALE,56
198,Fifth Circuit,BARZILAY,1
199,Fifth Circuit,BENAVIDES,61
200,Fifth Circuit,CARL E  STEWART,1
201,Fifth Circuit,CLEMENT,61
202,Fifth Circuit,COSTA,13
203,Fifth Circuit,CYNTHIA HOLCOMB HALL,1
204,Fifth Circuit,"DAVID D  DOWD, Jr.",1
205,Fifth Circuit,DAVIS,58
206,Fifth Circuit,DEMOSS,40
207,Fifth Circuit,DENNIS,88
208,Fifth Circuit,DUHE',1
209,Fifth Circuit,DUHÉ,5
210,Fifth Circuit,DUPLANTIER,1
211,Fifth Circuit,EDITH BROWN CLEMENT,1
212,Fifth Circuit,ELROD,27
213,Fifth Circuit,EMILIO M  GARZA,18
214,Fifth Circuit,ENGELHARDT,2
215,Fifth Circuit,GARWOOD,14
216,Fifth Circuit,GARZA,28
217,Fifth Circuit,GOLDBERG,1
218,Fifth Circuit,GRAVES,26
219,Fifth Circuit,HALL,1
220,Fifth Circuit,HAYNES,26
221,Fifth Circuit,HEAD,1
222,Fifth Circuit,HICKS,1
223,Fifth Circuit,HIGGINBOTHAM,61
224,Fifth Circuit,HIGGINSON,24
225,Fifth Circuit,JOLLY,62
226,Fifth Circuit,JONES,45
227,Fifth Circuit,JUNELL,1
228,Fifth Circuit,KAZEN,2
229,Fifth Circuit,KING,84
230,Fifth Circuit,KINKEADE,1
231,Fifth Circuit,LINDSAY,1
232,Fifth Circuit,LITTLE,4
233,Fifth Circuit,LYNN,1
234,Fifth Circuit,MARTINEZ,2
235,Fifth Circuit,NA,3
236,Fifth Circuit,O'CONNOR,1
237,Fifth Circuit,OWEN,49
238,Fifth Circuit,PARKER,18
239,Fifth Circuit,PICKERING,6
240,Fifth Circuit,POLITZ,7
241,Fifth Circuit,PRADO,43
242,Fifth Circuit,REAVLEY,38
243,Fifth Circuit,REEVES,2
244,Fifth Circuit,REYNALDO G  GARZA,2
245,Fifth Circuit,SMITH,81
246,Fifth Circuit,SOUTHWICK,40
247,Fifth Circuit,SPARKS,1
248,Fifth Circuit,STEWART,78
249,Fifth Circuit,WALTER,1
250,Fifth Circuit,WIENER,50
251,Fifth Circuit,WILLETT,2
252,First Circuit,B  FLETCHER,1
253,First Circuit,BALDOCK,9
254,First Circuit,BARRON,5
255,First Circuit,BOUDIN,31
256,First Circuit,BOWNES,3
257,First Circuit,CAMPBELL,5
258,First Circuit,CARTER,1
259,First Circuit,CASELLAS,1
260,First Circuit,COFFIN,9
261,First Circuit,CYR,7
262,First Circuit,DOMINGUEZ,1
263,First Circuit,DYK,3
264,First Circuit,FUSTÉ,1
265,First Circuit,GERTNER,1
266,First Circuit,GIBSON,1
267,First Circuit,GORTON,2
268,First Circuit,GREENBERG,1
269,First Circuit,HANSEN,2
270,First Circuit,HOWARD,44
271,First Circuit,HUG,1
272,First Circuit,JOHN R  GIBSON,1
273,First Circuit,KAYATTA,10
274,First Circuit,LEVAL,1
275,First Circuit,LIPEZ,54
276,First Circuit,LISI,2
277,First Circuit,LYNCH,64
278,First Circuit,MAGILL,1
279,First Circuit,MCAULIFFE,1
280,First Circuit,O'TOOLE,2
281,First Circuit,PORFILIO,2
282,First Circuit,RIPPLE,1
283,First Circuit,SARIS,1
284,First Circuit,SELYA,42
285,First Circuit,SHADUR,1
286,First Circuit,SILER,4
287,First Circuit,SMITH,1
288,First Circuit,SOUTER,4
289,First Circuit,STAFFORD,1
290,First Circuit,STAHL,22
291,First Circuit,STAPLETON,1
292,First Circuit,TASHIMA,1
293,First Circuit,THOMPSON,13
294,First Circuit,TORRUELLA,54
295,First Circuit,TORUELLA,1
296,First Circuit,WALLACE,1
297,First Circuit,WILLIAM W  SCHWARZER,1
298,First Circuit,WOODLOCK,1
299,Fourth Circuit,AGEE,23
300,Fourth Circuit,ALARCON,1
301,Fourth Circuit,ANTHONY J  TRENGA,1
302,Fourth Circuit,BENSON EVERETT LEGG,1
303,Fourth Circuit,BRUCE H  HENDRICKS,1
304,Fourth Circuit,BUTZNER,2
305,Fourth Circuit,C  ARLEN BEAM,1
306,Fourth Circuit,CACHERIS,1
307,Fourth Circuit,CATHERINE C  BLAKE,1
308,Fourth Circuit,CHASANOW,1
309,Fourth Circuit,CHERYL ANN KRAUSE,1
310,Fourth Circuit,COPENHAVER,2
311,Fourth Circuit,DAMON J  KEITH,1
312,Fourth Circuit,DAVID A  FABER,1
313,Fourth Circuit,DAVID C  NORTON,1
314,Fourth Circuit,DAVID R  HANSEN,1
315,Fourth Circuit,DAVIS,10
316,Fourth Circuit,DIANA GRIBBON MOTZ,1
317,Fourth Circuit,DIAZ,14
318,Fourth Circuit,DUNCAN,26
319,Fourth Circuit,FLOYD,12
320,Fourth Circuit,FRANK J  MAGILL,1
321,Fourth Circuit,FRIEDMAN,1
322,Fourth Circuit,GREGORY,32
323,Fourth Circuit,HAMILTON,33
324,Fourth Circuit,HARRIS,10
325,Fourth Circuit,HENRY E  HUDSON,2
326,Fourth Circuit,HENRY F  FLOYD,1
327,Fourth Circuit,HILTON,1
328,Fourth Circuit,IRENE M  KEELEY,1
329,Fourth Circuit,JACKSON L  KISER,1
330,Fourth Circuit,JAMES C  DEVER III,1
331,Fourth Circuit,"JAMES H  MICHAEL, Jr.",1
332,Fourth Circuit,JAMES P  JONES,1
333,Fourth Circuit,"JOHN A  GIBNEY, Jr.",1
334,Fourth Circuit,"JOSEPH F  ANDERSON, Jr.",1
335,Fourth Circuit,JOSEPH R  GOODWIN,2
336,Fourth Circuit,KEELEY,1
337,Fourth Circuit,KEENAN,17
338,Fourth Circuit,KING,66
339,Fourth Circuit,LORETTA C  BIGGS,1
340,Fourth Circuit,LOUISE W  FLANAGAN,1
341,Fourth Circuit,LUTTIG,18
342,Fourth Circuit,MAGILL,1
343,Fourth Circuit,MARGARET B  SEYMOUR,1
344,Fourth Circuit,MARK S  DAVIS,1
345,Fourth Circuit,MARYANNE TRUMP BARRY,1
346,Fourth Circuit,"MAX O  COGBURN, Jr.",1
347,Fourth Circuit,MICHAEL,38
348,Fourth Circuit,MOTZ,38
349,Fourth Circuit,MURNAGHAN,6
350,Fourth Circuit,NIEMEYER,56
351,Fourth Circuit,PAULA XINIS,1
352,Fourth Circuit,R  BRYAN HARWELL,1
353,Fourth Circuit,RAYMOND A  JACKSON,2
354,Fourth Circuit,RICHARD M  GERGEL,1
355,Fourth Circuit,ROBERT E  PAYNE,1
356,Fourth Circuit,"ROBERT J  CONRAD, Jr.",3
357,Fourth Circuit,ROBERT R  BEEZER,1
358,Fourth Circuit,SAMUEL G  WILSON,1
359,Fourth Circuit,SEYMOUR,1
360,Fourth Circuit,SHEDD,22
361,Fourth Circuit,THACKER,7
362,Fourth Circuit,THOMAS L  AMBRO,1
363,Fourth Circuit,TRAXLER,47
364,Fourth Circuit,WIDENER,23
365,Fourth Circuit,WILKINS,28
366,Fourth Circuit,WILKINSON,46
367,Fourth Circuit,WILLIAMS,27
368,Fourth Circuit,WYNN,10
369,Ninth Circuit,A  WALLACE TASHIMA,5
370,Ninth Circuit,ADELMAN,1
371,Ninth Circuit,ALARCON,3
372,Ninth Circuit,ALARCÓN,8
373,Ninth Circuit,ALDISERT,3
374,Ninth Circuit,ALEX KOZINSKI,8
375,Ninth Circuit,ALFRED T  GOODWIN,2
376,Ninth Circuit,ALSUP,1
377,Ninth Circuit,ANDREW D  HURWITZ,3
378,Ninth Circuit,ANDREW J  KLEINFELD,2
379,Ninth Circuit,ANTOON,1
380,Ninth Circuit,ARCHER,1
381,Ninth Circuit,ARNOLD,1
382,Ninth Circuit,ARTHUR L  ALARCÓN,1
383,Ninth Circuit,B  FLETCHER,27
384,Ninth Circuit,"BARRINGTON D  PARKER, Jr.",1
385,Ninth Circuit,BARRY G  SILVERMAN,2
386,Ninth Circuit,BEA,19
387,Ninth Circuit,BEEZER,6
388,Ninth Circuit,BENITEZ,1
389,Ninth Circuit,BENNETT,1
390,Ninth Circuit,BERG,1
391,Ninth Circuit,BERTELSMAN,2
392,Ninth Circuit,BERZON,22
393,Ninth Circuit,BETTY B  FLETCHER,2
394,Ninth Circuit,BLACK,1
395,Ninth Circuit,BLOCK,1
396,Ninth Circuit,BOOCHEVER,2
397,Ninth Circuit,BRIGHT,3
398,Ninth Circuit,BROWNING,4
399,Ninth Circuit,BRUNETTI,5
400,Ninth Circuit,BYBEE,17
401,Ninth Circuit,C  ROGER VINSON,1
402,Ninth Circuit,CALLAHAN,24
403,Ninth Circuit,CANBY,23
404,Ninth Circuit,"CANBY, Jr.",1
405,Ninth Circuit,CARLOS T  BEA,3
406,Ninth Circuit,CARNEY,1
407,Ninth Circuit,CARROLL,1
408,Ninth Circuit,CASTEL,1
409,Ninth Circuit,CHOY,2
410,Ninth Circuit,CHRISTEN,2
411,Ninth Circuit,CLIFTON,20
412,Ninth Circuit,COLLINS,3
413,Ninth Circuit,CONLON,1
414,Ninth Circuit,CONSUELO M  CALLAHAN,4
415,Ninth Circuit,COWEN,1
416,Ninth Circuit,COX,2
417,Ninth Circuit,CUDAHY,1
418,Ninth Circuit,D W  NELSON,16
419,Ninth Circuit,DANA L  CHRISTENSEN,1
420,Ninth Circuit,DAVID C  BURY,1
421,Ninth Circuit,DAVID R  THOMPSON,1
422,Ninth Circuit,DIARMUID F  O'SCANNLAIN,6
423,Ninth Circuit,DONALD E  WALTER,1
424,Ninth Circuit,DUFFY,3
425,Ninth Circuit,DUHÉ,1
426,Ninth Circuit,EDMUNDS,1
427,Ninth Circuit,FABER,1
428,Ninth Circuit,FARRIS,8
429,Ninth Circuit,FERGUSON,10
430,Ninth Circuit,FERNANDEZ,17
431,Ninth Circuit,FISHER,30
432,Ninth Circuit,FITZGERALD,2
433,Ninth Circuit,FOGEL,1
434,Ninth Circuit,FRIEDLAND,3
435,Ninth Circuit,GARBIS,1
436,Ninth Circuit,GARY FEINERMAN,1
437,Ninth Circuit,GEORGE,1
438,Ninth Circuit,GIBSON,1
439,Ninth Circuit,GOODWIN,15
440,Ninth Circuit,GOULD,31
441,Ninth Circuit,GRABER,32
442,Ninth Circuit,GRAHAM,1
443,Ninth Circuit,GREENBERG,1
444,Ninth Circuit,GUTIERREZ,1
445,Ninth Circuit,GWIN,3
446,Ninth Circuit,HALL,4
447,Ninth Circuit,HARRY PREGERSON,6
448,Ninth Circuit,HAWKINS,27
449,Ninth Circuit,HILL,1
450,Ninth Circuit,HOLLAND,1
451,Ninth Circuit,HUG,23
452,Ninth Circuit,HURWITZ,3
453,Ninth Circuit,IKUTA,12
454,Ninth Circuit,J  CLIFFORD WALLACE,2
455,Ninth Circuit,JACQUELINE H  NGUYEN,2
456,Ninth Circuit,JAMES K  SINGLETON,1
457,Ninth Circuit,JAMES R  BROWNING,2
458,Ninth Circuit,JAY S  BYBEE,10
459,Ninth Circuit,JEROME FARRIS,1
460,Ninth Circuit,JOHN R  TUNHEIM,1
461,Ninth Circuit,JOHN T  NOONAN,4
462,Ninth Circuit,JOHNNIE B  RAWLINSON,1
463,Ninth Circuit,JOSEPH F  BATAILLON,1
464,Ninth Circuit,KIM MCLANE WARDLAW,1
465,Ninth Circuit,KING,4
466,Ninth Circuit,KLEINFELD,15
467,Ninth Circuit,KORMAN,2
468,Ninth Circuit,KOZINSKI,26
469,Ninth Circuit,LARRY A  BURNS,1
470,Ninth Circuit,LAY,4
471,Ninth Circuit,LEAVY,14
472,Ninth Circuit,LEIGHTON,1
473,Ninth Circuit,LORENZ,1
474,Ninth Circuit,LOUIS H  POLLAK,2
475,Ninth Circuit,LYNN,2
476,Ninth Circuit,M  MARGARET MCKEOWN,3
477,Ninth Circuit,M  SMITH,8
478,Ninth Circuit,MAGILL,3
479,Ninth Circuit,MARK W  BENNETT,1
480,Ninth Circuit,MARSHA S  BERZON,7
481,Ninth Circuit,MARY H  MURGUIA,2
482,Ninth Circuit,MARY M  SCHROEDER,4
483,Ninth Circuit,MCKEOWN,21
484,Ninth Circuit,MICHAEL A  PONSOR,1
485,Ninth Circuit,MICHAEL DALY HAWKINS,3
486,Ninth Circuit,MICHAEL W  MOSMAN,1
487,Ninth Circuit,MICHELLE T  FRIEDLAND,2
488,Ninth Circuit,"MILAN D  SMITH, Jr.",7
489,Ninth Circuit,MILLER,2
490,Ninth Circuit,MILTON I  SHADUR,1
491,Ninth Circuit,MOLLWAY,2
492,Ninth Circuit,MORGAN CHRISTEN,1
493,Ninth Circuit,MORRIS S  ARNOLD,1
494,Ninth Circuit,MURGUIA,11
495,Ninth Circuit,N  RANDY SMITH,3
496,Ninth Circuit,N R  SMITH,17
497,Ninth Circuit,NGUYEN,2
498,Ninth Circuit,NOONAN,12
499,Ninth Circuit,O'SCANNLAIN,26
500,Ninth Circuit,OLIVER,1
501,Ninth Circuit,OWENS,3
502,Ninth Circuit,PAEZ,32
503,Ninth Circuit,PAUL J  WATFORD,1
504,Ninth Circuit,POLITZ,3
505,Ninth Circuit,PREGERSON,32
506,Ninth Circuit,"PROCTER HUG, Jr.",1
507,Ninth Circuit,QUIST,2
508,Ninth Circuit,RAWLINSON,20
509,Ninth Circuit,RAYMOND C  FISHER,8
510,Ninth Circuit,REAVLEY,3
511,Ninth Circuit,REINHARDT,29
512,Ninth Circuit,RESTANI,3
513,Ninth Circuit,RHOADES,1
514,Ninth Circuit,RICHARD A  PAEZ,4
515,Ninth Circuit,RICHARD C  TALLMAN,8
516,Ninth Circuit,RICHARD D  CUDAHY,1
517,Ninth Circuit,RICHARD R  CLIFTON,3
518,Ninth Circuit,RIPPLE,2
519,Ninth Circuit,ROBERT D  SACK,1
520,Ninth Circuit,ROBERT H  WHALEY,1
521,Ninth Circuit,ROBERT R  BEEZER,2
522,Ninth Circuit,ROGER T  BENITEZ,1
523,Ninth Circuit,RONALD M  GOULD,7
524,Ninth Circuit,ROTH,2
525,Ninth Circuit,RYMER,24
526,Ninth Circuit,SANDRA DAY O'CONNOR,1
527,Ninth Circuit,SANDRA S  IKUTA,5
528,Ninth Circuit,SCHROEDER,27
529,Ninth Circuit,SCHWARZER,3
530,Ninth Circuit,SEDWICK,1
531,Ninth Circuit,SETTLE,1
532,Ninth Circuit,SHADUR,1
533,Ninth Circuit,SIDNEY R  THOMAS,3
